06/06/2008 15:53:05 - A Janela 1 já está abert

**** Este log foi gerado às 15:53:10 ***

06/06/2008 15:53:36 - A Porta 1 foi aberta!
06/06/2008 15:53:42 - A Janela 5 foi aberta!

**** Este log foi gerado às 15:53:46 ***

06/06/2008 15:54:18 - A Porta 1 foi aberta!
06/06/2008 15:54:20 - A Porta 1 foi aberta!
06/06/2008 15:54:21 - A Porta 1 foi aberta!
06/06/2008 15:54:21 - A Porta 1 foi aberta!
06/06/2008 15:54:21 - A Porta 1 foi aberta!
06/06/2008 15:54:22 - A Porta 1 foi aberta!
06/06/2008 15:54:22 - A Porta 1 foi aberta!
06/06/2008 15:54:23 - A Porta 1 foi aberta!
06/06/2008 15:54:23 - A Porta 1 foi aberta!

**** Este log foi gerado às 15:54:29 ***

**** Este log foi gerado às 16:18:24 ***


**** Este log foi gerado às 16:27:06 ***


**** Este log foi gerado às 16:52:24 ***


**** Este log foi gerado às 17:00:02 ***

